;previous_5_turn;question;next_5_turn
10;"


et si
alors euh

aux PTT en dix neuf cent trente-sept


je suis rentré
hm

vous savez ça fait

ça fait trente-deux ans que je suis postier moi 

j'ai 
";et si vous n'étiez pas postier ?;"
ah ben ça

qu'est ce que vous aimeriez faire ?
euh


bon moi je bricole beaucoup hein ?


hm hm


la preuve c'est je viens de refaire l'appartement hein
quand vous ètes venu 
"
11;"
ah ben ça

et si vous n'étiez pas postier ?




et si
alors euh

aux PTT en dix neuf cent trente-sept

";qu'est ce que vous aimeriez faire ?;"

bon moi je bricole beaucoup hein ?


hm hm


la preuve c'est je viens de refaire l'appartement hein
quand vous ètes venu 

j'étais en pleine peinture hein ?
ah





maintenant c'est terminé vous voyez qu'on a bien fait de retarder

"
12;"
qu'est ce que vous aimeriez faire ?
euh

ah ben ça

et si vous n'étiez pas postier ?




et si
alors euh
";bon moi je bricole beaucoup hein ?;"
hm hm


la preuve c'est je viens de refaire l'appartement hein
quand vous ètes venu 

j'étais en pleine peinture hein ?
ah





maintenant c'est terminé vous voyez qu'on a bien fait de retarder


hm hm

euh on

"
13;"
la preuve c'est je viens de refaire l'appartement hein
quand vous ètes venu 

hm hm



bon moi je bricole beaucoup hein ?


qu'est ce que vous aimeriez faire ?
euh

ah ben ça
";j'étais en pleine peinture hein ?;"
maintenant c'est terminé vous voyez qu'on a bien fait de retarder


hm hm

euh on


on trouve que de plus en plus de de femmes mariées travaillent aujourd'hui


oui

et vous personnellement est-ce que vous ètes pour ou contre ?

"
14;"
oui

on trouve que de plus en plus de de femmes mariées travaillent aujourd'hui


hm hm

euh on


maintenant c'est terminé vous voyez qu'on a bien fait de retarder


j'étais en pleine peinture hein ?
ah




";et vous personnellement est-ce que vous ètes pour ou contre ?;"
non je préfèrerais que

avoir un traitement suffisant ou pour euh que la femme ne travaille pas évidemment ça c'est le but de 
c'est le but général c'est le but de tout le monde ça


hm hm


d'un autre côté

l'occupation aussi c'est pas mauvais non plus

mais enfin pas ètre obligée de faire des
des journées euh




disons un travail à  mi-temps par exemple pour une femme c'est

ça serait pas mal


hm


mais ètre obligée de faire des journées complètes

c'est mon point de vue hein ?

c'est ce que je cherche d'ailleurs

"
15;"
hm


d'un autre côté

l'occupation aussi c'est pas mauvais non plus

mais enfin pas ètre obligée de faire des
des journées euh




disons un travail à  mi-temps par exemple pour une femme c'est

ça serait pas mal


hm hm


non je préfèrerais que

avoir un traitement suffisant ou pour euh que la femme ne travaille pas évidemment ça c'est le but de 
c'est le but général c'est le but de tout le monde ça


et vous personnellement est-ce que vous ètes pour ou contre ?

";c'est mon point de vue hein ?;"
et 

qu'est ce que vous faites de votre temps libre ?


ah bon vous savez j'ai toujours de quoi m'occuper

je bricole pas mal

je

donne un coup de main à  droite à  gauche quoi euh

et puis enfin maintenant moins parce que

je commence à  avoir un certain à¢ge alors quand je commence à  cinq heures du matin vous savez je vais faire ma petite sieste l'après-midi








"
16;"
et 

mais ètre obligée de faire des journées complètes

c'est mon point de vue hein ?

c'est ce que je cherche d'ailleurs


hm


d'un autre côté

l'occupation aussi c'est pas mauvais non plus

mais enfin pas ètre obligée de faire des
des journées euh




disons un travail à  mi-temps par exemple pour une femme c'est

ça serait pas mal


hm hm

";qu'est ce que vous faites de votre temps libre ?;"
ah bon vous savez j'ai toujours de quoi m'occuper

je bricole pas mal

je

donne un coup de main à  droite à  gauche quoi euh

et puis enfin maintenant moins parce que

je commence à  avoir un certain à¢ge alors quand je commence à  cinq heures du matin vous savez je vais faire ma petite sieste l'après-midi









et
le samedi et le dimanche ?


oh le samedi et le dimanche euh

principalement la pèche

"
17;"







ah bon vous savez j'ai toujours de quoi m'occuper

je bricole pas mal

je

donne un coup de main à  droite à  gauche quoi euh

et puis enfin maintenant moins parce que

je commence à  avoir un certain à¢ge alors quand je commence à  cinq heures du matin vous savez je vais faire ma petite sieste l'après-midi


qu'est ce que vous faites de votre temps libre ?


et 
";le samedi et le dimanche ?;"
oh le samedi et le dimanche euh

principalement la pèche


et comment vous l'avez-vous passé le dimanche dernier ?


à  la pèche justement



oui


et que ferez-vous pendant les vacances d'été ?

"
18;"
oh le samedi et le dimanche euh

principalement la pèche


et
le samedi et le dimanche ?









ah bon vous savez j'ai toujours de quoi m'occuper

je bricole pas mal

je

donne un coup de main à  droite à  gauche quoi euh

et puis enfin maintenant moins parce que

je commence à  avoir un certain à¢ge alors quand je commence à  cinq heures du matin vous savez je vais faire ma petite sieste l'après-midi

";et comment vous l'avez-vous passé le dimanche dernier ?;"
à  la pèche justement



oui


et que ferez-vous pendant les vacances d'été ?


ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année 
m'enfin habituellement euh les autres années on retient

on retient un hôtel au bord de la mer quoi

enfin cette année je sais pas j'ai l'impression que

on va plutôt
faire un voyage on va plutôt faire des vacances itinérantes


hm hm hm

pour faire la pèche ?

"
19;"
oui


à  la pèche justement



et comment vous l'avez-vous passé le dimanche dernier ?


oh le samedi et le dimanche euh

principalement la pèche


et
le samedi et le dimanche ?

";et que ferez-vous pendant les vacances d'été ?;"
ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année 
m'enfin habituellement euh les autres années on retient

on retient un hôtel au bord de la mer quoi

enfin cette année je sais pas j'ai l'impression que

on va plutôt
faire un voyage on va plutôt faire des vacances itinérantes


hm hm hm

pour faire la pèche ?


oui j- y'a toujours le matériel dans la voiture




bon

et si vous aviez deux heures de temps libre supplémentaire par jour 

que feriez-vous de de ce temps libre ?


ben je me suis jamais posé la question parce que 
"
20;"
ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année 
m'enfin habituellement euh les autres années on retient

on retient un hôtel au bord de la mer quoi

enfin cette année je sais pas j'ai l'impression que

on va plutôt
faire un voyage on va plutôt faire des vacances itinérantes


et que ferez-vous pendant les vacances d'été ?


oui


à  la pèche justement



et comment vous l'avez-vous passé le dimanche dernier ?

";pour faire la pèche ?;"
oui j- y'a toujours le matériel dans la voiture




bon

et si vous aviez deux heures de temps libre supplémentaire par jour 

que feriez-vous de de ce temps libre ?


ben je me suis jamais posé la question parce que 






vous savez pour avoir deux heures de plus

oh puis y'a toujours moyen de s'occuper hein

"
21;"
oui j- y'a toujours le matériel dans la voiture




bon

hm hm hm

pour faire la pèche ?


ah ça ça ça dépend des années cette année je ne je n'ai encore rien de prévu pour cette année 
m'enfin habituellement euh les autres années on retient

on retient un hôtel au bord de la mer quoi

enfin cette année je sais pas j'ai l'impression que

on va plutôt
faire un voyage on va plutôt faire des vacances itinérantes


et que ferez-vous pendant les vacances d'été ?


oui

";que feriez-vous de de ce temps libre ?;"

ben je me suis jamais posé la question parce que 






vous savez pour avoir deux heures de plus

oh puis y'a toujours moyen de s'occuper hein


alors je vais vous poser quelques questions au sujet de l'enseignement

et de de des lycées et de l'é- des écoles


"
22;"


alors je vais vous poser quelques questions au sujet de l'enseignement

et de de des lycées et de l'é- des écoles

vous savez pour avoir deux heures de plus

oh puis y'a toujours moyen de s'occuper hein








ben je me suis jamais posé la question parce que 
";à  votre avis monsieur qu'est-ce qu'on devrait apprendre surtout aux enfants ?;"

ce qu'on devrait apprendre surtout aux enfants à  l'école ?

hm hm


ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien

enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai
continué à  à  l'école primaire supérieure

hm hm


mais 
ce qui serait intéressant c'est que justement

on puisse euh

les enfants puissent apprendre de très bonne heure

euh très jeunes

une ou deux langues étrangères une au moins

"
23;"


alors je vais vous poser quelques questions au sujet de l'enseignement

et de de des lycées et de l'é- des écoles

vous savez pour avoir deux heures de plus

oh puis y'a toujours moyen de s'occuper hein








ben je me suis jamais posé la question parce que 
";à  l'école ?;"

ce qu'on devrait apprendre surtout aux enfants à  l'école ?

hm hm


ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien

enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai
continué à  à  l'école primaire supérieure

hm hm


mais 
ce qui serait intéressant c'est que justement

on puisse euh

les enfants puissent apprendre de très bonne heure

euh très jeunes

une ou deux langues étrangères une au moins

"
24;"
à  votre avis monsieur qu'est-ce qu'on devrait apprendre surtout aux enfants ?

à  l'école ?



alors je vais vous poser quelques questions au sujet de l'enseignement

et de de des lycées et de l'é- des écoles

vous savez pour avoir deux heures de plus

oh puis y'a toujours moyen de s'occuper hein






";ce qu'on devrait apprendre surtout aux enfants à  l'école ?;"
hm hm


ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien

enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai
continué à  à  l'école primaire supérieure

hm hm


mais 
ce qui serait intéressant c'est que justement

on puisse euh

les enfants puissent apprendre de très bonne heure

euh très jeunes

une ou deux langues étrangères une au moins


et pourquoi ?
"
25;"
mais 
ce qui serait intéressant c'est que justement

on puisse euh

les enfants puissent apprendre de très bonne heure

euh très jeunes

une ou deux langues étrangères une au moins


hm hm


ben moi je vois l'en- l'enseignement tel qu'on l'a tel qu'on l'a eu nous-mèmes l'enseignement primaire était très bien

enfin moi je suis en primaire évidemment je j'étais pas au lycée je j'ai
continué à  à  l'école primaire supérieure

hm hm



ce qu'on devrait apprendre surtout aux enfants à  l'école ?
";et pourquoi ?;"

eh bien

c'est très utile dans la vie

je m'en suis rendu compte puisque j'ai fait la guerre euh

dans les Forces Françaises Libres


hm hm


et j'ai eu l'occasion justement de côtoyer les Américains les Anglais

et heureusement j'avais appris l'allemand à  l'école primaire supérieure et je me suis pas mal débrouillé en Allemagne lorsque évidemment

nous sommes euh 

nous les avons reconduits








"
26;"







et j'ai eu l'occasion justement de côtoyer les Américains les Anglais

et heureusement j'avais appris l'allemand à  l'école primaire supérieure et je me suis pas mal débrouillé en Allemagne lorsque évidemment

nous sommes euh 

nous les avons reconduits


hm hm



eh bien

c'est très utile dans la vie

je m'en suis rendu compte puisque j'ai fait la guerre euh

dans les Forces Françaises Libres

";et qu'est-ce que vous pensez du latin à  l'école ?;"
ah ça c'est un peu puissant pour moi ça euh
naturel- le latin a évidemment euh
ce ça serait pas mal parce que c'est quand mème le la base de

c'est tout de mème la euh

la base de la langue française quoi du
c'est vrai


hm hm


et dans quelle matière est-il bon qu'un enfant soit fort ?


ben maintenant moi à  mon avis je pense que

euh ce serait

pour l'avenir je pense pour les les enfants de maintenant ce serait plutôt les mathématiques plus qu'ils se dirigent vers la science c'est là  quand mème le meilleur débouché


hm hm

"
27;"
hm hm


ah ça c'est un peu puissant pour moi ça euh
naturel- le latin a évidemment euh
ce ça serait pas mal parce que c'est quand mème le la base de

c'est tout de mème la euh

la base de la langue française quoi du
c'est vrai


et qu'est-ce que vous pensez du latin à  l'école ?








";et dans quelle matière est-il bon qu'un enfant soit fort ?;"

ben maintenant moi à  mon avis je pense que

euh ce serait

pour l'avenir je pense pour les les enfants de maintenant ce serait plutôt les mathématiques plus qu'ils se dirigent vers la science c'est là  quand mème le meilleur débouché


hm hm


à  mon avis


hm


avant évidemment euh

c'est plus du tout la mème vie hein euh
"
28;"
hm hm


toutes les matières étaient bonnes mais bon
français euh géographie langue étrangère ou

tout ça était bon mais maintenant pour l'avenir quand mème pour les enfants je crois que euh les mathématiques la science le

c'est quand mème des débouchés plus sérieux





avant évidemment euh

c'est plus du tout la mème vie hein euh

hm

";et qu'est-ce qui fait que les enfants réussissent ou ne réussissent pas à  l'école ?;"

oh ça

vous savez euh j'ai deux enfants hein j'en ai un qui a pas voulu continuer et puis l'autre qui continue



ça ça


ça 
c'est

c'est difficile à  définir ça

hm hm


et puis y'a une question
il faut qu'ils soient doués ou pas

"
29;"
hm hm


et puis y'a une question
il faut qu'ils soient doués ou pas


hm hm



ça 
c'est

c'est difficile à  définir ça



ça ça
";continuent leurs études ?;"

ben je crois que ben le plus longtemps possible


hm


est-ce que la mème chose pour les garçons et les filles ?


oui

y'a pas de raison


et pourquoi est-ce que vous dites le plus longtemps possible ?
"
30;"
hm



ben je crois que ben le plus longtemps possible


et jusqu'à  quel à¢ge est-ce qu'il faudrait que les enfants

continuent leurs études ?

hm hm


et puis y'a une question
il faut qu'ils soient doués ou pas

";est-ce que la mème chose pour les garçons et les filles ?;"

oui

y'a pas de raison


et pourquoi est-ce que vous dites le plus longtemps possible ?


ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu





et pour revenir euh à  la ville d'Orléans

est-ce que d'après vous

on fait assez pour les habitants ?

à  Orléans ?
"
31;"

oui

y'a pas de raison


est-ce que la mème chose pour les garçons et les filles ?

hm



ben je crois que ben le plus longtemps possible


et jusqu'à  quel à¢ge est-ce qu'il faudrait que les enfants

continuent leurs études ?
";et pourquoi est-ce que vous dites le plus longtemps possible ?;"

ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu





et pour revenir euh à  la ville d'Orléans

est-ce que d'après vous

on fait assez pour les habitants ?

à  Orléans ?


ben en quel sens ?


bon

c'est-à -dire euh on on dit

bon est-ce qu'on fait assez pour les les habitants ?

peut-ètre la municipalité ou les autorités 
 n'importe qui
"
32;"



ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu



et pourquoi est-ce que vous dites le plus longtemps possible ?


oui

y'a pas de raison


est-ce que la mème chose pour les garçons et les filles ?
";on fait assez pour les habitants ?;"

ben en quel sens ?


bon

c'est-à -dire euh on on dit

bon est-ce qu'on fait assez pour les les habitants ?

peut-ètre la municipalité ou les autorités 
 n'importe qui

oh vous savez y'a pas à  se plaindre c'est pas

y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein

hm hm

alors j'ai une question que je vais vous poser

c'est de parler des événements de mai dernier

oui
"
33;"



ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu



et pourquoi est-ce que vous dites le plus longtemps possible ?


oui

y'a pas de raison


est-ce que la mème chose pour les garçons et les filles ?
";à  Orléans ?;"

ben en quel sens ?


bon

c'est-à -dire euh on on dit

bon est-ce qu'on fait assez pour les les habitants ?

peut-ètre la municipalité ou les autorités 
 n'importe qui

oh vous savez y'a pas à  se plaindre c'est pas

y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein

hm hm

alors j'ai une question que je vais vous poser

c'est de parler des événements de mai dernier

oui
"
34;"
et pour revenir euh à  la ville d'Orléans

est-ce que d'après vous

on fait assez pour les habitants ?

à  Orléans ?




ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu



et pourquoi est-ce que vous dites le plus longtemps possible ?


oui

y'a pas de raison

";ben en quel sens ?;"
bon

c'est-à -dire euh on on dit

bon est-ce qu'on fait assez pour les les habitants ?

peut-ètre la municipalité ou les autorités 
 n'importe qui

oh vous savez y'a pas à  se plaindre c'est pas

y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein

hm hm

alors j'ai une question que je vais vous poser

c'est de parler des événements de mai dernier

oui

moi

je n'étais pas en France à  l'époque
"
35;"

ben en quel sens ?


et pour revenir euh à  la ville d'Orléans

est-ce que d'après vous

on fait assez pour les habitants ?

à  Orléans ?




ben le plus longtemps possible pour euh essayer d'obtenir la meilleure situation possible bien entendu



et pourquoi est-ce que vous dites le plus longtemps possible ?
";bon est-ce qu'on fait assez pour les les habitants ?;"
oh vous savez y'a pas à  se plaindre c'est pas

y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein

hm hm

alors j'ai une question que je vais vous poser

c'est de parler des événements de mai dernier

oui

moi

je n'étais pas en France à  l'époque

hm hm

"
36;"
hm hm


moi

je n'étais pas en France à  l'époque

oui

hm hm

alors j'ai une question que je vais vous poser

c'est de parler des événements de mai dernier

oh vous savez y'a pas à  se plaindre c'est pas

y'a bien des détails comme euh un trottoir qui est démoli et qui est pas refait ou des des bricoles comme ça qui sont vous savez ça se passe partout ça dans toutes les villes hein
";est ce que vous pourriez m'expliquer ce qui s'est passé ?;"

ce qui s'est passé en mai ?

hm hm


oh vous savez c'est

euh en mai c'est une grève générale quoi

grève
mécontentement général des ouvriers c'est euh
euh ça a commencé évidemment par le les manifestations étudiants euh

et puis

y a eu le

le mécontentement

les sal- et et surtout pour les petits salaires
ils ont été euh 
d'ailleurs euh
le gouvernement a immédiatement accordé à 

une augmentation substantielle

hm hm


ce qu'il aurait d'ailleurs très bien pu faire euh

les années précédentes

grève générale

jusqu'à  temps qu'on obtienne 
"
37;"
est ce que vous pourriez m'expliquer ce qui s'est passé ?

hm hm


moi

je n'étais pas en France à  l'époque

oui

hm hm

alors j'ai une question que je vais vous poser

c'est de parler des événements de mai dernier
";ce qui s'est passé en mai ?;"
hm hm


oh vous savez c'est

euh en mai c'est une grève générale quoi

grève
mécontentement général des ouvriers c'est euh
euh ça a commencé évidemment par le les manifestations étudiants euh

et puis

y a eu le

le mécontentement

les sal- et et surtout pour les petits salaires
ils ont été euh 
d'ailleurs euh
le gouvernement a immédiatement accordé à 

une augmentation substantielle

hm hm


ce qu'il aurait d'ailleurs très bien pu faire euh

les années précédentes

grève générale

jusqu'à  temps qu'on obtienne 

hm

"
38;"
hm


ce qu'il aurait d'ailleurs très bien pu faire euh

les années précédentes

grève générale

jusqu'à  temps qu'on obtienne 

hm hm


oh vous savez c'est

euh en mai c'est une grève générale quoi

grève
mécontentement général des ouvriers c'est euh
euh ça a commencé évidemment par le les manifestations étudiants euh

et puis

y a eu le

le mécontentement

les sal- et et surtout pour les petits salaires
ils ont été euh 
d'ailleurs euh
le gouvernement a immédiatement accordé à 

une augmentation substantielle

hm hm

";qu'est-ce que vous les différences entre les classes sociales sont très marquées à  Orléans ?;"

bon vous savez chez chez nous les fonctionnaires on peut pas

ben les classes sociales vous voulez parlez de

la population mais la population en général quoi ?

hm hm


bon
oui euh vous avez

y'a quand mème euh

y'a quand mème pas mal de

de gros propriétaires 
 enfin vous savez c'est partout ça

c'est le régime français ça


et à  quoi est-ce qu'on reconnaà®t par exemple un gros propriétaire ?


ah ben ici si il se reconnaà®t difficilement

"
39;"
qu'est-ce que vous les différences entre les classes sociales sont très marquées à  Orléans ?

hm


ce qu'il aurait d'ailleurs très bien pu faire euh

les années précédentes

grève générale

jusqu'à  temps qu'on obtienne 

hm hm


oh vous savez c'est

euh en mai c'est une grève générale quoi

grève
mécontentement général des ouvriers c'est euh
euh ça a commencé évidemment par le les manifestations étudiants euh

et puis

y a eu le

le mécontentement

les sal- et et surtout pour les petits salaires
ils ont été euh 
d'ailleurs euh
le gouvernement a immédiatement accordé à 

une augmentation substantielle
";la population mais la population en général quoi ?;"
hm hm


bon
oui euh vous avez

y'a quand mème euh

y'a quand mème pas mal de

de gros propriétaires 
 enfin vous savez c'est partout ça

c'est le régime français ça


et à  quoi est-ce qu'on reconnaà®t par exemple un gros propriétaire ?


ah ben ici si il se reconnaà®t difficilement






"
40;"
bon
oui euh vous avez

y'a quand mème euh

y'a quand mème pas mal de

de gros propriétaires 
 enfin vous savez c'est partout ça

c'est le régime français ça


hm hm



bon vous savez chez chez nous les fonctionnaires on peut pas

ben les classes sociales vous voulez parlez de

la population mais la population en général quoi ?

qu'est-ce que vous les différences entre les classes sociales sont très marquées à  Orléans ?

hm

";et à  quoi est-ce qu'on reconnaà®t par exemple un gros propriétaire ?;"

ah ben ici si il se reconnaà®t difficilement







mais c'est quoi c'est
c'est pas celui

qui est bien habillé



en général
"
41;"


en général

qui est bien habillé

mais c'est quoi c'est
c'est pas celui







ah ben ici si il se reconnaà®t difficilement

";par quoi alors ?;"

ah ben par ce

par les discussions par le

quand on connaà®t les gens quoi

hm hm

autrement


et


est-ce que on peut passer d'une classe à  l'autre ?
"
42;"
et


autrement


hm hm


ah ben par ce

par les discussions par le

quand on connaà®t les gens quoi

hm hm

mais 

par quoi alors ?
";est-ce que on peut passer d'une classe à  l'autre ?;"

euh celui qui qui peut faire beaucoup d'économies
qui arrive à  en faire évidemment euh là  il va monter un petit peu

ça en général c'est du patr- du patrimoine euh familial


hm hm


et est-ce que les différences entre les classes ont tendance à  diminuer ou à  augmenter ?


vous savez moi je vois pas hein ?

ce ça aurait plutôt tendance à  à  diminuer quand mème

hm hm
"
43;"
hm hm



euh celui qui qui peut faire beaucoup d'économies
qui arrive à  en faire évidemment euh là  il va monter un petit peu

ça en général c'est du patr- du patrimoine euh familial


est-ce que on peut passer d'une classe à  l'autre ?

et


autrement

";et est-ce que les différences entre les classes ont tendance à  diminuer ou à  augmenter ?;"

vous savez moi je vois pas hein ?

ce ça aurait plutôt tendance à  à  diminuer quand mème

hm hm

à  diminuer


diminuer pourquoi ?


bien justement par le fait euh

des études que les jeunes peuvent faire mème euh

mème n'é- n'étant pas fortunés voyez vous
"
44;"
et est-ce que les différences entre les classes ont tendance à  diminuer ou à  augmenter ?

hm hm



euh celui qui qui peut faire beaucoup d'économies
qui arrive à  en faire évidemment euh là  il va monter un petit peu

ça en général c'est du patr- du patrimoine euh familial


est-ce que on peut passer d'une classe à  l'autre ?

et

";vous savez moi je vois pas hein ?;"
hm hm

à  diminuer


diminuer pourquoi ?


bien justement par le fait euh

des études que les jeunes peuvent faire mème euh

mème n'é- n'étant pas fortunés voyez vous

hm hm

"
45;"
à  diminuer


hm hm


vous savez moi je vois pas hein ?

ce ça aurait plutôt tendance à  à  diminuer quand mème

et est-ce que les différences entre les classes ont tendance à  diminuer ou à  augmenter ?

hm hm

";diminuer pourquoi ?;"

bien justement par le fait euh

des études que les jeunes peuvent faire mème euh

mème n'é- n'étant pas fortunés voyez vous

hm hm


les bourses accordées tout ça euh permettent de poursuivre les études

ça diminue quand mème ça

seulement on n'enlèvera pas leur patrimoine familial qui est passé de père en fils ça y'a pas de doute


hm hm


"
