;previous_sentence;question
10;"
hm hm

";si si vous aviez le choix vous-même est-ce que vous aimeriez habiter ailleurs ?
11;"
je vous dis j'ai toutes ces 
 et puis alors euh
la r- la région aussi me plaît et je souhaite pas du tout quitter Orléans
";est-ce que l- l- la famille joue beaucoup pour dans la recherche du travail par exemple ?
12;"
hm hm

est-ce que vous croyez par exemple pour pour les missions de famille euh
est-ce que l- l- la famille joue beaucoup pour dans la recherche du travail par exemple ?

les relations familiales euh

";comment ça ?
13;"
hm hm

est-ce que vous croyez par exemple pour pour les missions de famille euh
est-ce que l- l- la famille joue beaucoup pour dans la recherche du travail par exemple ?

les relations familiales euh

";quelqu'un qui cherche du travail enfin est-ce qu'il fait appel à ses relations familiales est-ce que ça joue beaucoup euh ?
14;"
je sais pas ça alors là je j'avoue que j'ai pas de d'idée sur cette question 


j'ai pas d'idées sur cette question

non

";est-ce que vous voyez des grosses différences ou ?
15;"
est-ce que vous pourriez et euh raconter enfin rapidement votre histoire

euh

enfin disons les moments les plus importants hein euh de votre vie pour vous enfin

";à Orléans ou ?
16;"
est-ce que vous pourriez et euh raconter enfin rapidement votre histoire

euh

enfin disons les moments les plus importants hein euh de votre vie pour vous enfin

";qu'est-ce que vous considérez comme euh les moments les plus importants de votre vie ?
17;"
hm hm

";est-ce que vous auriez aimé faire autre chose comme métier ?
18;"
et enfin ça c'est ce que j'ai éprouvé hein
oui
ce que j'ai éprouvé
hm hm oui
";monsieur est-ce que vous pouvez nous dire comment vous en êtes venu à exercer ce métier ?
19;"
si après euh je vous dis j'ai eu vraiment euh
de la chance dans le déroulement de ma carrière parce que
euh
il y a eu tout un tas de circonstances qui ont fait que je suis revenu d'abord à Orléans qui ont fait que j'ai pu y rester
et que j'étais à la direction départementale où j'ai eu des tâches intéressantes
et puis j'ai eu la chance de changer très rarement de directeur enfin en

en vingt-sept ans d'administration j'en suis qu'à mon troisième directeur ce qui dans l'administration i-
c'est c'est très rare
hein
et d'avoir trois directeurs avec des tempéraments très différents euh

avec lesquels je me suis toujours très bien
";oui vous en êtes content ?
20;"
bien un mot qui revient souvent dans ce que vous avez dit euh avant c'est le mot chance

";est-ce que vous pouvez dire chance par rapport à quoi ? est-ce que vous auriez pu avoir une vie
21;"
oui
est-ce que vous pouvez dire chance par rapport à quoi ? est-ce que vous auriez pu avoir une vie
";différente ?
22;"
parce qu'y en a toujours
hein

";est-ce que vous êtes content de des horaires de travail ?
23;"
est-ce que vous êtes content de des horaires de travail ?
";est-ce que vous trouvez que vous travaillez trop ?
24;"
c'est ça

euh mais effectivement euh

euh je vous dis quarante heures j'aimerais mieux que
les quarante-deux heures c'est pas la question des deux heures c'est que
enfin si vous voulez y a un certain nombre de choses que je souhaiterais faire que j'ai pas le temps de faire
";par exemple ? 
25;"
hein ben lire beaucoup plus que je n'ai le temps de faire oui

oui

";euh qu'est-ce que ça veut dire exactement d'après vous ?
26;"
ah pour moi c'est quelqu'un qui a une euh valeur humaine hein c'est-à-dire quelqu'un
euh qui aime pas se compromettre

hein

et euh oui


"; qu'est-ce que vous en pensez ?
27;"
parce ce qu'elles seront l'unité une synthèse dans votre vie
oui oui oui oui oui oui oui oui oui
";qui eux ne sont pas satisfaits n'est-ce pas ?
28;"

euh et en même temps vous êtes syndicaliste c'est-à-dire que
vous avez affaire euh très souvent à des à des travailleurs qui
qui eux ne sont pas satisfaits n'est-ce pas ?
";n'est-ce pas ?
29;"
les difficultés qu'éprouvent euh
oui
euh non parce que quand je vois justement
oui
";n'est-ce pas ?
30;"
ou enfin de pas hein
hm
";de vie peut-être pour ces gens-là ?
31;"
pourquoi par exemple sur le plan des salaires
euh je suis euh très partisan d'un certain écrasement de la hiérarchie des salaires

";allo ?
32;"
bon
euh

";euh on peut poser les questions euh ?
33;"
mais pas 
 sociologique
en rapport humain oui
";enfin quelles sont les personnes que vous tutoyez et quelles sont les personnes que vous vouvoyez ?
34;"
sans aucune euh difficulté
";pourquoi pas les femmes ?
35;"
euh il se peut que j'en arrive à
au bout d'un certain temps mais pas au premier hein

";hm y a pas de hiérarchie au total entre entre les hommes ?
36;"
hein
"; l'emploi du vous au départ enfin avant ça venait de quoi à votre avis ?
37;"
que on marque euh s-

ce que l'on est et ce que l'on pense

hein

";est-ce qu'il y a des gens que vous tutoyez et qui vous vouvoie ?
38;"
si vous voulez c'est

je crois que c'est surtout ça qui fait que certaines personnes que je tutoie

me vouvoient 

oui hein

";et est-ce que dans votre expérience les femmes auraient moins tendance à se tutoyer ?
39;"
oui
";et ça c'est venu euh presque naturellement ?
40;"
oui
";y avait des grandes différences entre vous en dehors de ?
41;"



";et avec votre directeur par exemple comment ça se passe ?
42;"
je dis bonjour monsieur le directeur
oui
";mais est-ce que lui s'attendait de vous par exemple à ce que vous lui présentiez vos respects ?
43;"
hm
";je lui dirais bonjour monsieur le directeur comment allez-vous ? hein
44;"
je comprends pas

c'est un sujet inépuisable

";en français ?
45;"
oui mais il y a d'autres euh ça vous savez mais euh ça se retrouve euh
y a d'autres signes n'est-ce pas euh quoi euh gestuels
";est-ce que je peux vous poser une question ? qu'est-ce que vous 
46;"
euh
 je vous en prie
est-ce que je peux vous poser une question ? qu'est-ce que vous 
";pensez de l'enseignement des langues en France ?
47;"
Lyon ou Marseille
";et vous êtes vous-même professeur en France ?
48;"
quand même pas

";et vous-même monsieur vous êtes également anglais ?
49;"
no- et que nous regrettons beaucoup d'ailleurs

";mais alors là vous êtes en France pour combien de temps maintenant ?
50;"
voilà oui

très bien

";différent d'une autre ville ?
51;"
enfin j'avais pensé que pour commencer
euh je vous demanderai 

de nous parler de la spécificité d'Orléans
dans les domaines qui vous intéressent en quoi Orléans

serait-il

différent d'une autre ville ?

euh
enfin de votre point de vue

";de notre point de vue vous voulez dire du point de vue religieux du point de vue catholique alors ?
52;"
oui c'est ça oui
";n'est-ce pas ?
53;"
par exemple 
euh
";qui sont particuliers à Orléans ?
54;"
est-ce que l'expansion d'Orléans vous a euh

incité à prendre euh

des mesures enfin pour essayer de toucher les nouveaux
";nouveaux venus ?
55;"
hm 

";pendant une centaine d'années n'est-ce pas ?
56;"
le recrutement et la
chose 

";formation du clergé se font sur un plan local ?
57;"
mais par contre nous recevons dans les trois dernières années
pour les années de théologie nous recevons les séminaristes des autres départements de la région

";est-ce que par conséquent la formation de séminaristes euh a dû évoluer ?
58;"
mais par contre nous recevons dans les trois dernières années
pour les années de théologie nous recevons les séminaristes des autres départements de la région

";euh c- est-ce que le contenu a dû changer ?
59;"
mais par contre nous recevons dans les trois dernières années
pour les années de théologie nous recevons les séminaristes des autres départements de la région

";pour faire face à ces nouveaux problèmes ?
60;"
alors vous vous entendez dans l'Eglise euh des des personnes qui
qui se plaignent en disant nous nous ne voyons plus nos prêtres

vous avez beaucoup de malades qui disent autrefois y a vingt ans

euh il y avait dans la paroisse un prêtre qui voyait tous les malades
qui leur rendait visite

maintenant quand on sonne quand on appelle au téléphone pour avoir un prêtre y a jamais personne

ils sont toujours partis

et il est vrai que

le genre de ministère est est différent

le prêtre autrefois faisait le catéchisme pour tous les enfants

nous cherchons maintenant des méthodes où dans les différents quartiers dans les rues
dans les différentes implantations ce sont des chrétiens qui font le catéchisme aux enfants du coin

alors c'est tantôt un père de famille après son travail le soir
c'est une maman euh dans la journée quand ce sont des plus petits

euh
c'est un peu toutes les catégories sociales il y a des ouvriers des professions libérales
il y a de tout

et euh

nous essayons si vous voulez

de faire en sorte que toute la communauté chrétienne soit associée au rôle de de l'Eglise
parce que l'Eglise ce n'est pas simplement
la hiérarchie ce n'est pas simplement l'évêque et les prêtres
l'Eglise c'est tous les chrétiens

le peuple de Dieu
";un renouveau de force ?
61;"
oui oui
";les conceptions actuelles de l'autorité ?
62;"
hm hm

justement euh dans tous ces changements
une des choses qu'on qu'on teste puisque c'est le mot à la mode

euh dans tous les domaines
et quelques fois il me semble peut-être justement
euh ce sont d'anciennes conceptions de l'autorité

eh bien évidemment euh l'Eglise est une organisation

qui doit tout à son autorité

euh
est-ce que

cette conception enfin euh change beaucoup euh est-ce que
nous on est

enfin quels sont si si l'on veut euh

quel est le poids spécifique disons du traditionnel et du nouveau dans

les conceptions actuelles de l'autorité ?
";dans l'Eglise le principe de l'autorité il n'est pas contesté n'est-ce pas ?
63;"
on ne concevrait plus maintenant un

un évêque qui avec sa crosse n'est-ce pas à la main dirait ce sera comme ça parce que je 
je le veux
";n'est-ce pas ? 
64;"
oui d'accord
";n'est-ce pas ?
65;"
des
euh oui
";est-ce que vous voyez un héritage possible laissé par l'Eglise de notre époque ?
66;"
peut-être pas même tangibles

pas forcément matériels

";témoigneront de la vitalité de l'Eglise ?
67;"
oui
";n'est-ce pas ?
68;"
on porte en soi cela
que diriez-vous à ce point de vue
";ou musulmane ?
69;"
pour ne pas dire tout m'enfin revu à la manière du Christ

si bien que en définitive
euh on

on se sépare euh avec des étiquettes

mais dans ce que l'on est dans notre nature

";dans dans toutes les grandes philosophies ?
70;"
le fait du seul marxisme d'ailleurs
";n'est-ce pas ?
71;"
en attendant en attendant que ça vienne
";que ça vienne n'est-ce pas ?
72;"
oh oui
";n'est-ce pas ?
73;"
hm hm hm hm
";alors puisque pourquoi est-ce que cet argument a pris ?
74;"
hm
";vous êtes professeur de philosophie en plus n'est-ce pas ?
75;"
les choses ont complètement changé maintenant
complètement changé maintenant

";euh unanime sur la question de la séparation de l'Eglise et de l'Etat ?
76;"
est-ce que tout est-ce que tout le monde euh

dans en France au sein de l'Eglise est

euh unanime sur la question de la séparation de l'Eglise et de l'Etat ?

ou bien 

";en France ?
77;"
oh en France c'est la quasi unanimité
";de de quel point de vue enfin de quel côté ?
78;"
hm
";que voulez-vous de mieux ?
79;"
hm

";vous êtes désireux de revenir à un régime concordataire ou pas ?
80;"
hm hm
";n'est-ce pas ? 
81;"
hm
";or est-ce que vous accepteriez de nous parler un peu de l'enseignement libre ?
82;"
par exemple euh

peut-être des rapports avec le ministère

";euh je vous ai d- fait une petite incise n'est-ce pas ?
83;"
oui mais 



";n'est-ce pas ?
84;"
oui mais 



";qui fait la suppléance et qui fait de droit l'essentiel ?
85;"
oui mais 



";n'est-ce pas ? 
86;"
oui c'est vrai que nous ne cherchons pas
";non y a du bruit ici hein non ?
87;"
des interviews euh enfin pas des
non y a du bruit ici hein non ?
";ça ne vous gêne pas ?
88;"
hm si
";non ?
89;"
la plupart des questions
bien


";qu'il y a ?
90;"
la plupart des questions
bien


";ah bonjour monsieur c'est pour des renseignements au point de vue militaire ?
91;"
oui
";euh est-ce que ça vous ennuierait de revenir vers la fin de l'après-midi ?
92;"
oh ça va ça va
ça va ça va ça va
";vous êtes sûr ? parce que je sais que
93;"
j'ai deux documentalistes aujourd'hui ça va très bien
";ah bon ?
94;"
oui
est-ce 
";et le Centre d'Orientation Scolaire et Professionnelle ?
95;"
vous avez vu nos dossiers dans la grande salle
hm oui
";n'est-ce pas ?
96;"
vous avez vu nos dossiers dans la grande salle
hm oui
";faut l'étudier un point de vue psychologique voyez-vous ?
97;"
n'est-ce pas ?

et au contraire s'il y a par exemple une difficulté
prenons un exemple

un garçon tout à l'heure je vois un garçon
euh vient me trouver monsieur je suis reçu au baccalauréat
j'ai une mention bien je voudrais faire de la biologie
bon

il va faire de la biologie
il est reçu
il est en bonne santé
tout va bien il a un âge normal il a bachot bien réussi

je lui donne des indications
sur les études de biologie de biochimie de bactériologie
de géologie de sciences naturelles
les écoles où il peut aller les facultés les
les licences les
maîtrises et cetera

c'est suffisant c'est tout
il n'a pas besoin d'aller à l'orientation professionnelle et scolaire
par contre
si je vois un élève
euh bah voilà monsieur les études n'ont pas très bien marché
moi je suis je sors de troisième
mais
euh ben euh je m'entends pas bien avec les professeurs ou avec maman
et puis alors deux ans de retard scolaire et puis alors ça ne va pas du tout en français
ou pas du tout en maths et puis
euh ben je ne suis pas admis à passer en seconde s-

bon puis j'arrive d'Algérie par exemple ou

euh j'ai déménagé j'ai été malade

bon
alors là il faut absolument voir
les aptitudes de l'enfant
faut l'étudier un point de vue psychologique voyez-vous ?
pour voir si c'est une blessure caractérielle superficielle ou profonde
si y a un conflit avec des parents ou avec des professeurs

si euh
si les aptitudes
coïncident avec le résultat scolaire
sont meilleures ou sont moins bonnes

et à ce moment-là
les
conseillers d'orientation professionnels de l'orientation
ont des moyens d'investigation
particuliers

";psychologiques oui ?
98;"
psychologiques oui ?
vous vous
";par euh aptitudes ?
99;"
dans ce contexte-là
alors là il faudrait demander justement
";voyez-vous ? grâce à des procédés justement on leur fait
100;"
aux conseillers d'orientation professionnelle
moi je ne suis pas psychologue
mais enfin en gros
ça décis-
ça consiste à savoir
si l'enfant a une attention
normale
une mémoire visuelle normale
et une mémoire auditive
normale
voyez-vous ? grâce à des procédés justement on leur fait
lire des textes on leur fait
chercher des petites choses dans les expériences particulières
vous savez bien ce que c'est
";que les tests n'est-ce pas ? de psychologie
101;"
que les tests n'est-ce pas ? de psychologie
oui oui oui
alors on voit je vous dis le
oui bien sûr
";on leur donne par exemple des petits mécanismes n'est-ce pas ?
102;"
que les tests n'est-ce pas ? de psychologie
oui oui oui
alors on voit je vous dis le
oui bien sûr
";voyez-vous ?
103;"
hm
";comme on dit familièrement n'est-ce pas ?
104;"
hm hm
"; et et nous t- nous travaillons ensemble en somme voyez-vous ?
105;"
oui

";oui ?
106;"
quand 
oui ?
alors is- ici
";c'est c'est surtout les élèves qui viennent ou bien les parents aussi ?
107;"
les deux
";pourquoi ?
108;"
monsieur je voudrais être euh
oui
";euh voilà j'ai mon fils qui a vingt-deux ans n'est-ce pas ? 
109;"
monsieur je voudrais être euh
oui
";enfin je dis madame pourquoi votre fils ne vient pas ?
110;"
monsieur je voudrais être euh
oui
";voyez-vous ?
111;"
voyez-vous des rapports entre le
l'origine sociale des des élèves et
si les parents viennent
";ou pas ? non ?
112;"
et tout cela
oui
";un emploi ?
113;"
problèmes mondiaux et cetera
vraiment ça ça manque
";pensez que c'est si euh fondamental de savoir un peu ?
114;"
ben parce que c'est tout de même ça
l'économie
";voyez-vous ?
115;"
vraiment il est protégé
hm
";par sa famille voyez-vous ?
116;"
vous lui parlez de
hm
";ah ça ça ça manque beaucoup voyez-vous ?
117;"
vous lui parlez de
hm
";n'est-ce pas ? faire une conférence
118;"
enfin il faudrait que ce soit
hm hm
";n'est-ce pas ? y a
119;"
enfin il faudrait que ce soit
hm hm
";à l'extrême n'est-ce pas ?
120;"
enfin il faudrait que ce soit
hm hm
";mais qu'est-ce que vous vouliez faire dans cette faculté de lettres ?
121;"
enfin il faudrait que ce soit
hm hm
";où voulez-vous aller ? quel métier voulez-vous faire ?
122;"
hm hm
";n'est-ce pas ? doit mener au travail effectif
123;"
alors ils cumulent des études des études ils accumulent les diplômes
et vous

sans euh l'idéal d'un d'un métier très précis
c'est pourquoi je dis pour ceux-là en particulier
qu'il serait utile que

on leur dise mais
l'école n'est qu'une préparation à la vie
ce n'est qu'un étape temporaire hein
n'est-ce pas ? doit mener au travail effectif
et ça ils n'en ont pas assez de notions

si vous voyez les erreurs qu'ils commettent ils n-
ils ne savent pas ils ne savent vraiment pas ce que

ce que la vie peut leur offrir
ce que le monde du travail
que la société
que la vie économique peuvent leur offrir
y a d'énormes choses à leur apprendre à ce point de vue-là

";sur l'enseignement en France ?
124;"
ça je vous assure
hm hm
";vraiment n'est-ce pas ?
125;"
ça je vous assure
hm hm
";il vivait dans un petit univers bourgeois protégé je parle de l'élève du lycée n'est-ce pas ?
126;"
s'impose à lui
hm
";voyez-vous ? et il est tiraillé
127;"
hm
";c'est pas vrai ?
128;"
c'est pas vrai ?
";n'est-ce pas ?
129;"
hm hm
";n'est-ce pas ?
130;"
à leur donner des
hm hm
";voyez-vous ?
131;"
à leur donner des
hm hm
";à la vie économique à la vie des métiers au moins n'est-ce pas ?
132;"
est-ce que vous êtes content euh
de du style de l'examen
du baccalauréat
";en ce moment ?
133;"
hm hm
";autrement dit c'est ça qu'est-ce qu'on enseigne ?
134;"
hm hm
";que fait l'élève pendant les trois dernières années d'un lycée ?
135;"
hm hm
";n'est-ce pas ? il développe il fait un développement
136;"
oui je
";de Flaubert n'est-ce pas ?
137;"
oui je
";car dans la vie qu'est-ce que nous faisons tous ?
138;"
oui je
";un très petit nombre n'est-ce pas ?
139;"
oui je
";voyez-vous ?
140;"
oui je
";inconcevable en France n'est-ce pas ?
141;"
euh de de
de Flaubert n'est-ce pas ?
valeur d'un
poème de Valéry

bon

une tragédie classique

et brusquement

dès qu'il a quitté le lycée

quel est l'exercice essentiel qu'on va lui demander

dès les concours pour entrer en grandes écoles
un compte-rendu de lecture un résumé de texte
car dans la vie qu'est-ce que nous faisons tous ?

du résumé de texte

un journaliste un professeur un écrivain un professeur 


une lettre à faire c'est un résumé

pendant sept ans
on leur apprend à développer

sur des sujets littéraires

et brusquement dans la vie
ils auront à résumer

à condenser leur pensée

à ne plus faire d'études littéraires
sauf exception
un très petit nombre n'est-ce pas ?
et à utiliser le français
non plus comme moyen d'esthétique littéraire

mais comme moyen de communication
pratique

ils n'ont pas appris

et un bachelier moyen ne sait pas faire une lettre

voyez-vous ?
hein hein on n'a jamais appris en sept ans à un bachelier à faire une lettre

je sais les lettres que je reçois ici
alors que je
je on une parenthèse
j'ai vu un un livre d'anglais pour un
pour des étudiants pour des élèves

américains

vous avez l'américain
j'ai vu un jour un livre de
un livre d'anglais pour les petits gosses américains

alors on commence euh
to be to have euh have you have hein hein
bon
et puis à la page dix
modèle de lettre c'est inconcevable en français ça
inconcevable en France n'est-ce pas ?
";ah bon ?
142;"
bon
dès qu'on a quitté le le high school hein
y a la vie qui nous appelle
faut faire des lettres hein faut condenser sa pensée
je ne sais pas si les petits enfants anglais y sont

habitués
mais nos
nos élèves ne sont pas habitués
";voyez-vous ?
143;"
l'enseignement du français ça
";voyez-vous ? ça vous
144;"
voyez-vous ? ça vous
oui
";je peux vous affirmer que vraiment n'est-ce pas ?
145;"
bourgeoise qui avait ses débouchés automatiques
oui oui la oui oui
qui allait vivre dans ce genre de préoccupations
hm oui oui oui
";n'est-ce pas ?
146;"
d'une tranche d'âge
oui
";pensez-vous ? moi je ne le crois pas
147;"
s-
hm hm
";de plus concret voyez-vous ?
148;"
oui
";nous étions combien ? y avait
149;"
oui
";peut-on ?
150;"
oui oui
";littéraires ?
151;"
par cette cette abstraction
oui


";si vous voyiez les questionnaires qu'on pose dans les livres de sixième n'est-ce pas ?
152;"
oui
";c'est que c'est terrible n'est-ce pas ?
153;"
oui

";sociale en France avant tout voyez-vous ?
154;"
oui

";voyez-vous ? c'est une s-
155;"
oui

";élevée c'est très curieux n'est-ce pas ?
156;"
oui

";qu'on dit maintenant socio-économique parmi les élèves voyez-vous ?
157;"
oui
";nous apprenons très facilement l'espagnol et l'italien n'est-ce pas ?
158;"
mais à des spécialistes
ah oui
";voyez-vous ?
159;"
je crois
hm hm


";qu'est-ce que repensais-je là ? à propos du latin aussi
160;"
je crois
hm hm


";n'est-ce pas ?
161;"
hm hm
";voyez-vous ?
162;"
ce que ce qu'on vous disait
oui
";n'est-ce pas ?
163;"
oui
";n'est-ce pas ?
164;"
à travers le mot
hm
";premier sens n'est-ce pas ?
165;"
à travers le mot
hm
";quelque chose qui tourne enfin je vous donnerais mille exemples n'est-ce pas ?
166;"
à travers le mot
hm
";pour l'enseigner n'est-ce pas ? mais on peut parler très bien le français
167;"
oui
";n'est-ce pas ?
168;"
on voit pas tellement bien les différences
alors les instituteurs
";vous voulez dire au point de vue promotionnel ?
169;"
oui
oui oui


";vous voyez où se situe la classe de seconde ?
170;"
après notre
hm
";premier cycle n'est-ce pas ?
171;"
premier cycle n'est-ce pas ?
oui
";voyez-vous ?
172;"
hm

";voyez-vous ?
173;"
hein c'est l'école moyenne
oui
";middle school you have the word ?
174;"
hein c'est l'école moyenne
oui
";middle school you lose the word ?
175;"
et ils ne resteront plus
hm
";vous voyez ?
176;"
oui
";n'est-ce pas ? pour démocratiser l'enseignement
177;"
je vous montrerai ma carte
oui
";mettre comme professeurs là-dedans ?
178;"
c'est ça
";avec le développement de la scolarité n'est-ce pas ?
179;"
c'est ça
";voyez-vous ?
180;"

 est-ce qu'il y a oui
est-ce qu'il y a euh
un sentiment de solidarité
entre tous ces professeurs
";de différents ni- niveaux ? y a un
181;"


";ou presque unique enfin voyez-vous ?
182;"
à la faculté de 

ah oui 
";voyez-vous ?
183;"
de
oui
";des opinions politiques euh bien définies ?
184;"
je sais pas si c'est comme ça chez vous 

";si un peu ?
185;"
comment s'établit et cette question d'opposi-
la question des classes


aussi dont vous avez parlé un peu

euh
quelles sortes de
de classes est-ce que vous voyez dans la société française
";actuellement ?
186;"
actuellement ?




";est-ce qu'il y a est-ce qu'on peut parler du mot classe ?
187;"
est-ce qu'il y a est-ce qu'on peut parler du mot classe ?
";oui ?
188;"
ah bon
hm


";oui y a tout de même n'est-ce pas ?
189;"
oui y a tout de même n'est-ce pas ?
y a des conditions la condition ouvrière est tout de même sévère
hein

je voyais
si je sais pas si vous a-
vous lisez Le Monde 
";quelquefois ? oui
190;"
quelquefois ? oui
oui oui oui
";avez-vous vu cette courbe des consommations il y a quelques jours ?
191;"


";vous avez vu dans le bas d'une page là ?
192;"
vous avez vu dans le bas d'une page là ?
oui oui
c'est incroyable
oui mais je
";vous avez vu comme c'est bas ?
193;"
oui

";vous avez vu cette courbe ?
194;"
oui

";par tête n'est-ce pas ? vous savez par euh
195;"
c'est-à-dire qu'il y a une très grande
vous
";voyez-vous ?
196;"
chez nous aussi
bah oui
";n'est-ce pas ? mais oui
197;"
oui
et euh
";ça tient surtout aux conditions de vie vous pensez ?
198;"
façon de concevoir la vie
est-ce que
";peut-être voyez-vous ?
199;"
et
hm hm
";c'est pas que je veux me vanter n'est-ce pas ? mais
200;"
et
hm hm
";voyez-vous ?
201;"
hm hm
";vous voyez ?
202;"
oui
";le soir n'est-ce pas ? ben
203;"
et y a une façon de vivre je crois qui reste quand même

";dans une catégorie dans une classe ?
204;"
hm
non
";qu'en pensez-vous ?
205;"
d'après mon expérience personnelle enfin c'est la même chose pour moi
";vous enseignez le français ?
206;"
je me rends compte
hm hm
";de la condition humaine vraiment n'est-ce pas ?
207;"
la preuve c'est que vous
";vous faites ça aussi c'est que ça vous intéresse vous aussi voyez-vous ?
208;"
la preuve c'est que vous
";hm hm oui n'est-ce pas ? oui exactement
209;"
oui oui
c'est ça et
";comment avez-vous changé de métier comme ça ?
210;"
quant à vous
comment avez-vous changé de métier comme ça ?
";c'est assez brusque n'est-ce pas ?
211;"
ils se voient uniquement entre collègues
moi ça m'a toujours amusé de voir des des
des tas de gens de euh un tas de métiers
puis alors j'ai pris cette fonction ici dans le lycée
je renseignais mes élèves
puis on a
Orléans est devenu ville
d'université c'est très récent
très récent l'académie
 de Orléans c'est
";quatre cinq ans n'est-ce pas ?
212;"
on s'aperçoit que l'enseignement n'est pas assez adapté à la vie

sans vouloir euh
encore une fois critiquer

la valeur d'un enseignement intellectuel et bien sûr l'humanisme
je suis un humaniste je reste un humaniste
mais y a pas que ça
y a pas que ça que diable

je ne crois pas

";des caractéristiques particulières en tant que ville ?
213;"
est-ce que vous diriez que Orléans a
des caractéristiques particulières en tant que ville ?

donc
";n'est-ce pas ? la fameuse accélération
214;"
vraiment la vie a a changé
oui
";depuis la fin de la guerre mettons n'est-ce pas ?
215;"
Kensington High Street
c'est ça
";eh ben Orléans c'est ça n'est-ce pas ?
216;"
qui a joué dans toute l'Europe
hm hm
";brusquement n'est-ce pas ? le coefficient d'urbanisation
217;"
qui a joué dans toute l'Europe
hm hm
";bon on se dit voyons on est où ?
218;"
qui a joué dans toute l'Europe
hm hm
";Buenos Aires ?
219;"
qui a joué dans toute l'Europe
hm hm
";Copacabana ?
220;"
qui a joué dans toute l'Europe
hm hm
";Birmingham ?
221;"
qui a joué dans toute l'Europe
hm hm
";Delhi ? beuh
222;"
voilà alors
hm hm
";c'est un bon exemple Orléans au fond c'est un bon exemple n'est-ce pas ?
223;"
vieillotte
hm
";n'est-ce pas ? de logements
224;"
depuis vingt ans
et
";traditionnels ?
225;"
et qu'en pensent donc les Orléanais
traditionnels ?
";ah ils sont un peu perdus bien sûr ils sont surpris n'est-ce pas ?
226;"
pas
oui
";n'est-ce pas ? cette ville qui augmente
227;"
c'est pareil
oh oui
dans toute l'Europe c'est pareil
oui oui oui
";elle se dit quoi ? c'est c'est pas mon village
228;"
ça c'est encore autre chose j'ai pas encore eu l'occasion d'aller voir mais

je connais vos expériences de new towns
ça doit être très curieux ça
";tout n'est-ce pas ? la l- le lieu de travail l'habitation
229;"
oui
";vous les connaissez vous vos new towns ? c'est c'est bien c'est agréable on vit bien ?
230;"
hm
";deux heures une heure trois heures par jour de transport n'est-ce pas ?
231;"
oui
";a beaucoup changé depuis la guerre ?
232;"
non
";non ?
233;"
surtout dans ces villes
oui
";ça n'a guère changé je ne crois pas on vous a dit le contraire ?
234;"
non non non
hm
";n'est-ce pas ? c'est le
