149	Boulogne	voilà là où ils avaient rencontré Mira ?
150	et c'était la la même ambiance quoi	donc quand est-ce que le quartier a basculé ?
151	soixante-quinze soixante-seize quelque chose	c'était un quartier faute de mieux alors ?
152	ouais 	alors pourtant ton père était plutôt entre- entrepreneur ?
153	et ça s'est reconcentré sur la peinture sur soie	lui aussi ?
154	d’accord	et donc on en vivait ?
155	c- oui c'est un peu ça ouais	et et donc maintenant tu y es bien dans ce quartier ?
156	et et donc maintenant tu y es bien dans ce quartier ?	tu tu te vois y passer le restant de ta vie ou tu serais content d'aller ailleurs ?
157	y avait beaucoup plus de commerces y avait une crèmerie un buraliste plusieurs commerces de bouche	donc tout ça disparaît un peu ?
158	oui un peu beaucoup 	et côté art ?
159	Bains-douches	c'est de ça que tu parles ?
160	mais c'est calme	c'est ça qui te plaît le calme ?
161	et le le le l'extension de de l'autre côté ce serait jusqu'à la rue	et oui pour- pourquoi pourquoi c'est ça ton quartier ?
162	et je vais promener de temps en temps mon chien que je n'ai pas	tu as un chien ?
163	juste prendre l'air cinq minutes 	donc tu fais ça ?
164	c'est les les besoins du chien 	il a un nom ?
165	oui 	deux mille- deux mille un c'était deux mille un ?
166	euh rive gauche évidemment	rive gauche ?
167	un petit peu	ça vaut encore?
168	oui oui je me suis beaucoup promené à pied	avec des quartiers de prédilection ?
169	et ça m'a pris neuf heures 	le périphique- -phérique intérieur ?
170	trente ans toutes ces balades nocturnes 	tu as fait ça avec des copains ?
171	on a tenu le coup	tu continues à faire des choses comme ça ?
172	un vrai bobo	c'est quoi un vrai bobo ?
173	et la bibliothèque 	ça te plaît la grande bibliothèque ?
174	donc nous on a gardé quelques petites choses	euh oui alors qu'est-ce que tu as gardé ?
175	j'ai gardé quelques recettes quelques recettes mais c'est surtout je sais les apprécier	par exemple y a ?
176	c'était délirant et la la mairie l'a l'a coincé plusieurs fois et	l'a coincé pourquoi ?
177	sur tout ce tronçon où j'habite y avait que des boutiques maintenant c'est que des habitations des bureaux	mais où vont les gens alors ?
	bah oui l’école	l'école était mo- un mélange de populations ou pas dans pour tes enfants ?
	oui par contre ce que j'ai remarqué chez certains copains de mes enfants c'est un un nouvel accent parisien	ah bah tes enfants eux ne l'ont pas du tout ?
	il faut que tu saches aussi parler autrement	et tu les entends changer de style avec les copains ?
	tout le monde parle depuis quelques années	est-ce que d'abord est-ce que personnellement tu la ressens ?
