;previous_sentence;question
118;"

nettement

";c'est-à-dire l'orthographe et la correction non ?
119;"
c'est-à-dire l'orthographe et la correction non ?
";euh la correction le l'orthographe et la correction de l'orthographe ?
120;"

mais je trouve que

dans l'enseignement

on n'y attache moins d'importance qu'avant
c'est mon c'est mon avis hein c'est pas

";comment expliquez-vous ça ?
121;"
hm hm

hm hm
les les programmes ont changé

";et dans quelle matière éti- étiez-vous le plus fort à à à l'é- à l'école ?
122;"
hm hm

hm

";habituellement avez-vous quelque chose pour écrire sur vous ?
123;"
hm hm

";possédez-vous un stylo à encre ?
124;"

oui mais je m'en sers euh presque plus maintenant
";et à la suite de quelles circonstances avez-vous possédé pour la première fois un stylo à encre ?
125;"

oui mais je m'en sers euh presque plus maintenant
";à quel âge ?
126;"
quinze ans

";et quand av- quand avez-vous écrit pour la dernière fois ?
127;"
et quand av- quand avez-vous écrit pour la dernière fois ?
";avec un stylo euh à encre ?
128;"
non avec n'importe quoi
";n'importe quoi ?
129;"
l'heure que je vous avais dit

";à votre travail ?
130;"

euh oui

";et c'est pour faire quoi ?
131;"

la comptabilité du

écrire une lettre à un 
un client aussi

avant de partir

";et vous avez eu besoin d'écrire beaucoup pour votre travail ?
132;"
hm hm hm

";préférériez-vous vous déplacer ou lui écrire une lettre ?
133;"
et si vous deviez dire quelque chose à une personne

habitant à cinq kilomètres de chez vous 

préférériez-vous vous déplacer ou lui écrire une lettre ?
";pour mon travail ou ?
134;"
mais si c'est

si c'est quelqu'un que 
qu'on veut voir on va plutôt le voir cinq kilomètres c'est rien du tout avec la voiture y'en a pour euh 
 pour quelques minutes
";est-ce que vous vous déplacez ou vous écrivez ?
135;"
hm hm

et si cette personne vous est supérieure 

est-ce que vous vous déplacez ou vous écrivez ?
";il m'est supérieur euh comment ça dans le travail ou ?
136;"
non on se déplace euh


";est-il important selon vous d'avoir une belle écriture ?
137;"
aussi

";et est-il important selon vous d'avoir de l'orthographe ?
138;"


ah c'est très important oui
";et pourquoi ?
139;"
hm

";euh seriez-vous favorable à une réforme de l'orthographe ?
140;"
euh seriez-vous favorable à une réforme de l'orthographe ?
";une réforme de l'orthographe ?
141;"
alors maintenant je vais vous poser des questions euh

peut-être un peu

un peu plus pers- personnelle mais

";écrit habituellement à des amis communs ?
142;"

c'est presque toujours moi 


";et le le à la famille euh à la euh à vos à votre famille ?
143;"
et si j'ai pas le temps par exemple euh

eh bien

elle va en faire une comme ça euh
";et qui remplit les papiers administratifs ?
144;"
très peu pour moi


 lettre

";et qui de vous possède le meilleur orthographe ?
145;"
très peu pour moi


 lettre

";la meilleure orthographe ?
146;"



";qui parle dans le meilleur français ?
147;"
ça se vaut
";ça se vaut hein ?
148;"
ça se vaut hein ?
";et qui écrit dans le meilleur français ?
149;"
l'occasion de

";et combien de lettres écrivez-vous en moyenne ?
150;"
l'occasion de

";dans votre travail ?
151;"
hm

";enfin en moyenne en moyenne euh par mois ?
152;"
ouais

";et hors de votre travail ?
153;"
à peu près oui

";conservez-vous les lettres qu'on vous envoie ?
154;"


hm
";et lesquelles ?
155;"

en principe euh 
si c'est une euh une affaire à régler euh 
une fois que l'affaire est réglée ma foi je détruis le courrier c'est fini c'est pas on en parle plus

mais la correspondance familiale on la conserve

";et combien en possédez-vous environ ?
156;"
et combien en possédez-vous environ ?
";de lettres ?
157;"
hm hm

";faites-vous un brouillon ?
158;"

non jamais

";faites-vous attention aux fautes d'orthographe ?
159;"
amis
ouais
";est-ce que vous faites toujours attention aux fautes d'orthographe ?
160;"

m'enfin euh j'en trouve presque jamais

parce que j'étais assez fort en orthographe
";vous m'avez dit que d'habitude vous écrivez euh avec un crayon n'est-ce pas ?
161;"
un crayon Bic oui
";stylo encre vous n'aimez pas ?
162;"

stylo bille oui
";et quel type de papier utilisez-vous ?
163;"

euh papier ministre toujours

";c'est quelle couleur ?
164;"
hm hm

et

";du papier à carreaux ?
165;"
et quand vous écrivez euh mm
quand vous écri- ah

";est-ce que vous avez fait un brouillon ?
166;"

ah ben ça m'est jamais arrivé ça

"; d'écrire un mot ?
167;"
ah non jamais

";c'est quelque chose déjà n'est-ce pas ?
168;"
ah non

merci

et
";quand vous av- devez écrire à votre supérieur ou dans le travail ?
169;"
ah non

merci

et
";est-ce que vous faites un brouillon ?
170;"

ah oui quand même

";et vous vous servez du du même papier ?
171;"
hm hm

";qui vous agacent dans la façon de parler de votre femme ?
172;"
des petites expressions comme ça



on en rit quoi

";et vous arrive-t-il de le de la reprendre quand elle parle ?
173;"
des petites expressions comme ça



on en rit quoi

";quelquefois ?
174;"
pas souvent donc

";mais y a-t-il des choses qui agacent votre femme dans la façon dont vous parlez ?
175;"
non

";et y a-t-il des choses qui vous agacent dans la façon de parler de vos enfants ?
176;"

non plus

";vous arrive-t-il quelquefois de les reprendre ?
177;"
vous arrive-t-il quelquefois de les reprendre ?
";oh non parce que vous savez ils en savent autant que nous hein ?
178;"
sinon plus

";y a-t-il des mots que vous interdisiez de prononcer à vos enfants ?
179;"



";et vos parents monsieur faisaient-ils attention à la façon dont vous parliez ?
180;"

ah oui

";et qui vous reprenait le plus souvent ?
181;"
ah le père toujours

";et pour quel genre de choses surtout ?
182;"

oh euh la tendance aux mots vulgaires par exemple

";et prenait-il des sanctions ?
183;"

";euh voulez-vous me dire comment on fait une omelette chez vous ?
184;"
avec différents légumes 
";oui mais enfin pour préparer une omelette nature ?
185;"
euh
oui
";vous êtes à Orléans depuis combien de temps ?
186;"
oui
";qu'est-ce qui vous a amenée à vivre à Orléans ?
187;"


";et Orléans ?
188;"


";Orléans vous convient ?
189;"
oh oui

";la facilité de faire des connaissances est-ce que d'une façon générale vous vous plaisez à Orléans ?
190;"
oh oui

";est-ce qu'y a des raisons particulières ?
191;"
on est moins perdu

";et vous comptez rester ?
192;"
après on en sait rien de ça
";alors est-ce qu'on pourrait parler un peu de votre travail ?
193;"
oui remarquez si
euhm 
vous voulez
en fait tout d'abord
";qu'est-ce que vous faites ?
194;"
bé je suis dans la maroquinerie

";qu'est-ce que com- ?
195;"
différent
ah oui ?
";quels genres de changements ?
196;"
j'en étais même soufflée

et puis maintenant ben vous savez pour dégo- on n'en vend pas

on n'en vend pas tous les jours
";alors c'est c'est du côté client que ça s'est restreint ?
197;"
mettons deux sacs dans l'année mais c'était des sacs vraiment jolis
cinq six ans vingt mille francs ça faisait quand même déjà

formidable

";est-ce que vous voulez me dé- me décrire une journée ?
198;"

c'est vraiment le premier point de vue qui

";euh je peux vous demander pourquoi vous avez choisi la maroqu- maroquinerie ?
199;"
oh oui très très bien
qu'est-ce que vous voulez
là-dedans il y a pas de problème si la cliente veut un s- cuir elle veut un cuir
si elle veut du lézard elle veut du lézard hein
si elle veut un skaï bon ben elle part avec un skaï je et puis c'est tout
";dans votre travail ?
200;"
des fois si le client est morose bon bien
on essaie d'enlever sa vente mais c'est plus délicat

que non alors après s- tout ça c'est à nous de juger son client au départ
";faut pas mal de psychologie ?
201;"
ah oui beaucoup
beaucoup beaucoup

";et enfin qu'est-ce que vous considérez comme un bon client ?
202;"
avec un sac euh
hm hm
";et qui savent pas le définir facilement elles disent ben pourquoi on ne la voit pas la différence ?
203;"
voilà
c'est ça

une chose que je ne pensais pas c'est que c'est très sale
";ah vraiment ?
204;"
mais comment donc est-ce que c'est la façon dont on a tanné le c-
";les coutûres ?
205;"
oui ça prend bien la poussière
et puis

";qu'est-ce que vous pensez des femmes mariées qui travaillent ?
206;"
ah bon ?
";dans ce sens ?
207;"
elle est couturière de métier
elle veut pas reprendre ce travail-là
elle a elle est très bien elle est
elle a un genre elle est pas du tout vous savez c'est pas la grosse femme là
elle s'est toujours bien conservée elle est bien coquette tout
bien arrangée
eh bien elle peut pas trouver de place

";comment donc ?
208;"
eh ben elle trouve pas de place

";et la dame com- comme apprentie ou c'est ?
209;"
eh bien elle peut pas trouver du tout du tout de travail

";même même si elle commençait au bas de l'échelle apprentissage et tout ?
210;"
ah oui

vous vous rendez compte cette femme a qu'à perdre son mari
bon alors faut qu'elle travaille
";qu'est-ce qu'elle va faire ?
211;"

ben c'était une permanente alors il y en avait pour trois heures
alors c'est déjà
bien gentil de sa part
elle me prend à sept heures à la sortie du magasin
à huit heures j'étais là
bon
et puis alors euh
le lendemain matin elle me termine elle re- elle nous reprend à une heure
vous savez c'est un tout un problème

";puis au fait comment ça va côté heures de travail ?
212;"
alors c'est ça voyez-vous que le plus petit commerçant fait pas assez de sacrifices de ce côté-là

";dans ce cas-là ?
213;"

eh ben non


c'est juste

c'est un fait

";enfin le le week-end euh qu'est-ce que vous avez ?
214;"
de maison vous savez

nous parce qu'au boulot on peut pas tout avoir
on est vraiment 
maître
de la situation maître du magasin

bon bien vous savez nous les
que l'après-midi elle arrive il est trois heures

alors

vraiment quand même on est si vraiment on a envie de donner un coup de collier on le donne après on est libre
on attend le client 
une heure ou deux heures sans rien faire

ah donc lorsque dans d'autres maisons quand vous avez

quelqu'un un patron sur le dos 
ou même deux
alors c'est tout de même euh

";enfin le dimanche par exemple ?
215;"
euh 
un choc un drame de famille qui m'a

vraiment choquée alors le dimanche ça cha- c'est ça c'est fini je peux plus rester toute seule
";ce que vous avez fait dimanche dernier ?
216;"

traditionnel ça

";et enfin votre voiture est-ce que vous vous pensez l'utiliser pour les vacances d'été ?
217;"
certainement
enfin ce ce
";l'année suivante ?
218;"
vous avez pas de rêves
vous l'avez dit
";de voyages ?
219;"
ah si
";par exemple ?
220;"
on la laissera
";vous la laissez au garage ?
221;"
fois l'autre il y pense euh 
";vous aimeriez ?
222;"
hum hum parce que y a beaucoup à connaître
";comment dirais-je ?
223;"
avec les loisirs du Val de la Loire c'était
assez sympathique
mais maintenant que j'ai la voiture j'aime mieux mon indépendance 

";qu'est-ce que vous feriez ?
224;"
parce que quand le client est parti
des fois vous avez des sé- des comptes sérieux à rendre

parce que le patron écoute vraiment toute votre vente

et si jamais on n'a pas su se défendre sur euh on n'a pas su se rattraper
ils savent bien nous le redire

ah mais c'est une chose qu'on ne pense pas hein

";ah vraiment ? 
225;"
voilà malheureusement si

";enfin euh je vais vous parler un peu de votre voiture euh c'est quel modèle ?
226;"
ah bah c'est une Renault une 4 L
";plus récente sans doute ?
227;"
trop chère pour moi à ce moment-là
";financières ?
228;"
voilà
";ils sont de quel âge environ ?
229;"
c'est parti

enfin vos vos petits neveux et vos nièces euh

ils sont de quel âge environ ?
";ah bah maintenant vous savez c'est qu'ils sont tous euh le plus jeune quel âge il a ?
230;"
oh ben sans doute sans doute

enfin il y en a qui sont à l'école
";je suppose ?
231;"
oui

";qu'est-ce qu'il faudrait surtout à votre avis enseigner aux enfants ?
232;"
ils savaient bien
oui enfin
";comment dirais-je ? elle est
233;"
mais elle ça va elle s'en est aperçue assez tôt que le que c'était trop dur pharmacienne
bon qu'elle y arri- arriverait pas

mais y en a d'autres pour euh qui veulent s'entêter eh bien c'est un handicap

";est-ce que vous trouvez qu'on fait assez pour orienter ?
234;"

oui mais maintenant tout le monde est révolté qu'est-ce que vous voulez ben
ils n'arrivent plus à 
ça les surpasse
lorsqu'il aurait commencé y a cinq six ans

euh à supprimer différentes choses ou 
à faire modifier ça aurait été cent fois mieux que d'attendre là alors là que tout leur tombe ils savent plus où donner la tête
";euh est-ce que vous avez des opinions quant au latin ?
235;"
alors elle dit alors elles s'y prenaient à quatorze ans bon elles disaient bé tiens faudrait bien prendre le latin
alors elles prétendaient
que c'était un peu tard pour se reprendre

dans le latin
mais moi je crois le latin serait 

 valable
parce que ce je comprends pas ils le suppriment à l'église m'enfin

ils disent tout en français

alors dans le fond aller à l'étranger c'était bien le latin bon alors on tombait dans la
c'était je ne sais pas pourquoi

";oui qu'est-ce que vous pensez de la réforme de la liturgie ?
236;"
ah oui dans le catholique beaucoup dans la religion catholique beaucoup beaucoup hein

on fait bien remarquez qu'y a des choses qui c'était invrai- c'est c'est normal

que met- par exemple voyez-vous la confession moi je trouve très très bien
les protestants de se confesser tous en commun

et puis je trouverais très très bien que le prêtre cathol- que le prêtre se marie

les protestants sont bien mariés c'est normal

ils sont comme tout le monde ces gens-là

oh ça moi je trouve ça très bien

";pour rendre les choses un peu plus flexible ?
237;"
et voyez-vous il y a quinze jours y en a encore eu une là à côté
quinze jours trois semaines
alors avec euh 
orchestre et tout ce que vous voudrez bien vous savez c'était

";enfin comment est-ce qu'on est arrivé à la faire ?
238;"
et voyez-vous il y a quinze jours y en a encore eu une là à côté
quinze jours trois semaines
alors avec euh 
orchestre et tout ce que vous voudrez bien vous savez c'était

";enfin excusez le terme est-ce c'était monté ? 
239;"
et voyez-vous il y a quinze jours y en a encore eu une là à côté
quinze jours trois semaines
alors avec euh 
orchestre et tout ce que vous voudrez bien vous savez c'était

";comment est-ce qu'on l'a montée ?
240;"
oui

";de la scolarité ? est-ce qu'il faudrait continuer
241;"
oui

";à quel âge ?
242;"
ben moi je trouve que c'est 
bon et pendant qu'il avait des facilités on lui a montré bon après il a il a un handicap c'est question peut-être de santé ou c'est question

alors et non ben et il redouble c'est tout

surtout que maintenant les enfants sont propres de bonne heure
bah c'est une
je sais pas c'est c'est même très bien parce que à la maison y a toujours en train de plus ou moins

fort alors les enfants sont

à droite et à gauche
je trouve ça très bien

";est-ce que vous voyez des explications à cela ?
243;"
ben moi je trouve que c'est 
bon et pendant qu'il avait des facilités on lui a montré bon après il a il a un handicap c'est question peut-être de santé ou c'est question

alors et non ben et il redouble c'est tout

surtout que maintenant les enfants sont propres de bonne heure
bah c'est une
je sais pas c'est c'est même très bien parce que à la maison y a toujours en train de plus ou moins

fort alors les enfants sont

à droite et à gauche
je trouve ça très bien

";enfin cette différence entre eux ?
244;"
hm hm
";y a peut-être pas assez des des des comment dirais-je ? de 
245;"
hm hm
";je sais pas comment dirais-je ?
246;"
quand même
hm hm
";est-ce que chez vous c'est pareil non ?
247;"
ah
ben ça je 

là vraiment je saurais pas trop vous dire sur ce



";pour la ville ?
248;"
on y va en pull-over moi j'étais
renversée de la tenue la première fois que j'ai été au théâtre y a trois ans
bon ben j'étais habituée d'y aller avec mes parents

bon dans ce temps-là
on s'habillait bon alors moi j'y vais avec ma pochette et tout de toute enfin très bien
ah j'étais suffoquée de voir les toilettes moi je vous cache pas maintenant des fois j'y j'y vais 
 qu'en petite robe de magasin comme ça

heureusement qu'à Paris maintenant ils essayent et même dans le
dans certaines euh milieux maintenant des jeunes
commencent un peu à demander

la la chemise cravate
et la
";on oblige ?
249;"
ah bon ?
";mais alors comment dirais-je euh ?
250;"

alors c'est le littéralement le côté sportif de notre enquête 

";ce genre-là ?
251;"
ah oui monsieur


non surtout bon bah vous venez vous êtes là en vacances au fond c'est des vacances pour vous
et puis euh

moi je ne sais pas c'est tout de même euh

sportif ce que vous faites

c'est pas comme nous là travail travail bon alors euh

";comment dirais-je ?
252;"
ah oui monsieur


non surtout bon bah vous venez vous êtes là en vacances au fond c'est des vacances pour vous
et puis euh

moi je ne sais pas c'est tout de même euh

sportif ce que vous faites

c'est pas comme nous là travail travail bon alors euh

";unie constante ou est-ce que ça votre clientèle a tendance à provenir d'un seul milieu ?
253;"
je trouve quand même
est-ce que les différences
";entre les milieux sont très marquées ?
254;"
ah ben oui le vest- savez les 

pas de problème hein
c'est euh

";alors y a il y aurait même des différences visibles ?
255;"
oh bah oui
";de quel ordre ?
256;"
alors euh prenez une chaise

bon alors non j'ai pas le temps
je reviendrai

alors certaine on sait qu'elle reviendra
elles reviendront puis d'autres bon elles le feront aussi bien elles vont aussi bien acheter à Paris maintenant maintenant c'est tellement parti à Paris

";à ce point-là ?
257;"
intéressant

";c'est euh comment dirais-je ? la conduite euh
258;"
ah oui
vous avez encore certaines euh
certaines maisons qui sont 

";très répandu ?
259;"
ah oui

";enfin comment est-ce que ça a pu euh survivre ?
260;"
eh bien
";elle est pas intéressante parce que elle ne travaillait pas avant vous comprenez ?
261;"
mais
et nous en avons certains qui disent on revient c'est pour vous
c'est pas pour la caisse
c'est pas pour la patronne

";qui sont pas inscrites au contrat ?
262;"
et puis c'est plus personnalisé
";alors je lui dis monsieur vous désirez ?
263;"
bon alors euh
dites qu'est-ce qu'il faut ou alors ou autre ou bien la

mais là ça va c'est ç- ça nous avait choquées l'une et l'autre
et y avait déjà longtemps où c'était

que c'était pas arrivé ces choses-là
";enfin ça ne doit pas arriver souvent ?
264;"
je sais pas vous savez

";enfin la toute première question est-ce qu'il y a chez vous un dictionnaire ?
265;"

ah oui
oui
il est vieux
";je peux vous demander lequel ?
266;"
Larousse ?
le Larousse
";le Nouveau Petit ?
267;"
alors il y est encore parce que je suis assez soigneuse et
";c'est c'était un cadeau ou ?
268;"
oui oui un cadeau

";est-ce que vous vous en servez souvent ?
269;"
ah oui
je vous dis très souvent 
vraiment oui

";deux fois par semaine ?
270;"

 vous savez
";souvent ou très souvent ?
271;"

non j'ai pas tellement
 bien saisi là
";ah bon ? euh 
272;"
quand est-ce que vous le consultez est-ce que vous diriez d'une façon générale que vous le consultez souvent ou
";très souvent ?
273;"
ah oui oh là là

";c'est d'ailleurs la question cinq faites-vous des mots-croisés ?
274;"




";et est-ce qu'il y a d'autres livres de référence enfin encyclopédie ou ?
275;"
je suis tellement limitée avec tous mes emprunts

mais j'avoue 
";du genre euh Larousse Ménager ou ?
276;"
ah oui oui
";comment ça s'est appris ?
277;"

ah non on f- on fait facilement sa sauce à soi on n'a pas besoin des livres de cuisine pour la faire
";de famille ?
278;"
tous tous nous
";alors vous avez appris en grandissant ?
279;"
ouais

";est-ce que vous lisez habituellement un journal ?
280;"


 ah oui
";est-ce est-ce que ce journal a une rubrique sur le langage ?
